# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_stop_gained	variants_effect_upstream_gene_variant
flhA	gene-ECB_01850	TRANSCRIPT_gene-ECB_01850	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
flhE	gene-ECB_01849	TRANSCRIPT_gene-ECB_01849	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fmt	gene-ECB_03138	TRANSCRIPT_gene-ECB_03138	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
folC	gene-ECB_02240	TRANSCRIPT_gene-ECB_02240	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
folE	gene-ECB_02082	TRANSCRIPT_gene-ECB_02082	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
folK	gene-ECB_00141	TRANSCRIPT_gene-ECB_00141	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
folP	gene-ECB_03042	TRANSCRIPT_gene-ECB_03042	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
frmA	gene-ECB_00310	TRANSCRIPT_gene-ECB_00310	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
frmB	gene-ECB_00309	TRANSCRIPT_gene-ECB_00309	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
frmR	gene-ECB_00311	TRANSCRIPT_gene-ECB_00311	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
frr	gene-ECB_00170	TRANSCRIPT_gene-ECB_00170	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fsr	gene-ECB_00430	TRANSCRIPT_gene-ECB_00430	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ftn	gene-ECB_01873	TRANSCRIPT_gene-ECB_01873	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fucA	fucA	gene-ECB_02645	pseudogene	0	0	1	0	0	0	0	1	0	0	0	0	0
fucO	gene-ECB_02644	TRANSCRIPT_gene-ECB_02644	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
fusA	gene-ECB_03191	TRANSCRIPT_gene-ECB_03191	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
fxsA	gene-ECB_04010	TRANSCRIPT_gene-ECB_04010	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gabP	gene-ECB_02519	TRANSCRIPT_gene-ECB_02519	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gabT	gene-ECB_02518	TRANSCRIPT_gene-ECB_02518	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
galR	gene-ECB_02685	TRANSCRIPT_gene-ECB_02685	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
galS	gene-ECB_02080	TRANSCRIPT_gene-ECB_02080	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
gatA	gene-ECB_02020	TRANSCRIPT_gene-ECB_02020	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gatB	gene-ECB_02019	TRANSCRIPT_gene-ECB_02019	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gatC	gene-ECB_02018	TRANSCRIPT_gene-ECB_02018	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gatY	gene-ECB_02024	TRANSCRIPT_gene-ECB_02024	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gatZ	gatZ	gene-ECB_02021	pseudogene	0	0	1	0	0	0	0	1	0	0	0	0	0
gcd	gene-ECB_00123	TRANSCRIPT_gene-ECB_00123	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gdhA	gene-ECB_01730	TRANSCRIPT_gene-ECB_01730	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
glcB	gene-ECB_02844	TRANSCRIPT_gene-ECB_02844	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glcC	gene-ECB_02849	TRANSCRIPT_gene-ECB_02849	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glcD	gene-ECB_02848	TRANSCRIPT_gene-ECB_02848	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
glcE	gene-ECB_02847	TRANSCRIPT_gene-ECB_02847	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
glcF	gene-ECB_02846	TRANSCRIPT_gene-ECB_02846	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
glcG	gene-ECB_02845	TRANSCRIPT_gene-ECB_02845	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glk	gene-ECB_02298	TRANSCRIPT_gene-ECB_02298	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glmM	gene-ECB_03041	TRANSCRIPT_gene-ECB_03041	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glnA	gene-ECB_03755	TRANSCRIPT_gene-ECB_03755	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glnB	gene-ECB_02445	TRANSCRIPT_gene-ECB_02445	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glnG	gene-ECB_03753	TRANSCRIPT_gene-ECB_03753	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glnL	gene-ECB_03754	TRANSCRIPT_gene-ECB_03754	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gloA	gene-ECB_01621	TRANSCRIPT_gene-ECB_01621	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gloB	gene-ECB_00205	TRANSCRIPT_gene-ECB_00205	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
glpA	gene-ECB_02167	TRANSCRIPT_gene-ECB_02167	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
glpB	gene-ECB_02168	TRANSCRIPT_gene-ECB_02168	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glpC	gene-ECB_02169	TRANSCRIPT_gene-ECB_02169	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glpQ	gene-ECB_02165	TRANSCRIPT_gene-ECB_02165	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
glpT	gene-ECB_02166	TRANSCRIPT_gene-ECB_02166	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gltI	gene-ECB_00623	TRANSCRIPT_gene-ECB_00623	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gltJ	gene-ECB_00622	TRANSCRIPT_gene-ECB_00622	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gltK	gene-ECB_00621	TRANSCRIPT_gene-ECB_00621	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gltL	gltL	gene-ECB_00618	pseudogene	0	0	1	0	0	0	0	0	0	0	1	0	0
gltW	gene-ECB_t00045	rna-ECB_t00045	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
glyW	gene-ECB_t00031	rna-ECB_t00031	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gmhB	gene-ECB_00199	TRANSCRIPT_gene-ECB_00199	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gnsB	gene-ECB_01514	TRANSCRIPT_gene-ECB_01514	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
greA	gene-ECB_03046	TRANSCRIPT_gene-ECB_03046	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
groEL	gene-ECB_04013	TRANSCRIPT_gene-ECB_04013	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
groES	gene-ECB_04012	TRANSCRIPT_gene-ECB_04012	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gsk	gene-ECB_00428	TRANSCRIPT_gene-ECB_00428	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gspA	gene-ECB_03174	TRANSCRIPT_gene-ECB_03174	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gspC	gene-ECB_03175	TRANSCRIPT_gene-ECB_03175	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
gspD	gene-ECB_03176	TRANSCRIPT_gene-ECB_03176	protein_coding	0	1	0	0	0	0	1	0	0	0	0	0	0
gspE	gene-ECB_03177	TRANSCRIPT_gene-ECB_03177	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gspF	gene-ECB_03178	TRANSCRIPT_gene-ECB_03178	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gspG	gene-ECB_03179	TRANSCRIPT_gene-ECB_03179	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gspH	gene-ECB_03180	TRANSCRIPT_gene-ECB_03180	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
gyrA	gene-ECB_02157	TRANSCRIPT_gene-ECB_02157	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hdfR	gene-ECB_03642	TRANSCRIPT_gene-ECB_03642	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
helD	gene-ECB_00966	TRANSCRIPT_gene-ECB_00966	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hemB	gene-ECB_00319	TRANSCRIPT_gene-ECB_00319	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hemC	gene-ECB_03680	TRANSCRIPT_gene-ECB_03680	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hemD	gene-ECB_03679	TRANSCRIPT_gene-ECB_03679	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hemH	gene-ECB_00426	TRANSCRIPT_gene-ECB_00426	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hemL	gene-ECB_00153	TRANSCRIPT_gene-ECB_00153	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
hemX	gene-ECB_03678	TRANSCRIPT_gene-ECB_03678	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hemY	gene-ECB_03677	TRANSCRIPT_gene-ECB_03677	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hflB	gene-ECB_03043	TRANSCRIPT_gene-ECB_03043	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0
hha	gene-ECB_00411	TRANSCRIPT_gene-ECB_00411	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
himA	gene-ECB_01681	TRANSCRIPT_gene-ECB_01681	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hisC	gene-ECB_01923	TRANSCRIPT_gene-ECB_01923	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hisD	gene-ECB_01922	TRANSCRIPT_gene-ECB_01922	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hisG	gene-ECB_01921	TRANSCRIPT_gene-ECB_01921	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hisJ	gene-ECB_02234	TRANSCRIPT_gene-ECB_02234	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hisL	gene-ECB_01920	TRANSCRIPT_gene-ECB_01920	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hisQ	gene-ECB_02233	TRANSCRIPT_gene-ECB_02233	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hisR	gene-ECB_t00068	rna-ECB_t00068	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hmpA	gene-ECB_02444	TRANSCRIPT_gene-ECB_02444	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hokC	gene-ECB_04280	TRANSCRIPT_gene-ECB_04280	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
holB	gene-ECB_01095	TRANSCRIPT_gene-ECB_01095	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
holC	gene-ECB_04125	TRANSCRIPT_gene-ECB_04125	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hpt	gene-ECB_00124	TRANSCRIPT_gene-ECB_00124	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
hscC	gene-ECB_00616	TRANSCRIPT_gene-ECB_00616	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hslJ	gene-ECB_01351	TRANSCRIPT_gene-ECB_01351	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
htpG	gene-ECB_00424	TRANSCRIPT_gene-ECB_00424	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
htpX	gene-ECB_01800	TRANSCRIPT_gene-ECB_01800	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
htrE	gene-ECB_00138	TRANSCRIPT_gene-ECB_00138	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
hupB	gene-ECB_00392	TRANSCRIPT_gene-ECB_00392	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
hyaA	gene-ECB_00975	TRANSCRIPT_gene-ECB_00975	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
hyaB	gene-ECB_00976	TRANSCRIPT_gene-ECB_00976	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
iap	gene-ECB_02603	TRANSCRIPT_gene-ECB_02603	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
idnD	gene-ECB_04133	TRANSCRIPT_gene-ECB_04133	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
idnK	gene-ECB_04134	TRANSCRIPT_gene-ECB_04134	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
idnO	gene-ECB_04132	TRANSCRIPT_gene-ECB_04132	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
idnR	gene-ECB_04130	TRANSCRIPT_gene-ECB_04130	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
idnT	gene-ECB_04131	TRANSCRIPT_gene-ECB_04131	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
ileV	gene-ECB_t00001	rna-ECB_t00001	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ilvD	gene-ECB_03649	TRANSCRIPT_gene-ECB_03649	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ilvE	gene-ECB_03648	TRANSCRIPT_gene-ECB_03648	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ilvG	gene-ECB_03646	TRANSCRIPT_gene-ECB_03646	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ilvL	gene-ECB_03645	TRANSCRIPT_gene-ECB_03645	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ilvM	gene-ECB_03647	TRANSCRIPT_gene-ECB_03647	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
inaA	gene-ECB_02163	TRANSCRIPT_gene-ECB_02163	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
infA	gene-ECB_00888	TRANSCRIPT_gene-ECB_00888	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
infB	gene-ECB_03035	TRANSCRIPT_gene-ECB_03035	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
infC	gene-ECB_01687	TRANSCRIPT_gene-ECB_01687	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insA-13	gene-ECB_01880	TRANSCRIPT_gene-ECB_01880	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insA-15	gene-ECB_02022	TRANSCRIPT_gene-ECB_02022	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insA-18	gene-ECB_02271	TRANSCRIPT_gene-ECB_02271	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insA-19	gene-ECB_02451	TRANSCRIPT_gene-ECB_02451	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insA-21	gene-ECB_02647	TRANSCRIPT_gene-ECB_02647	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insA-4	gene-ECB_00314	TRANSCRIPT_gene-ECB_00314	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insA-9	gene-ECB_00588	TRANSCRIPT_gene-ECB_00588	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insB-13	gene-ECB_01881	TRANSCRIPT_gene-ECB_01881	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insB-15	gene-ECB_02023	TRANSCRIPT_gene-ECB_02023	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insB-18	gene-ECB_02270	TRANSCRIPT_gene-ECB_02270	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insB-19	gene-ECB_02452	TRANSCRIPT_gene-ECB_02452	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insB-21	gene-ECB_02646	TRANSCRIPT_gene-ECB_02646	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insB-4	gene-ECB_00313	TRANSCRIPT_gene-ECB_00313	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insB-9	gene-ECB_00587	TRANSCRIPT_gene-ECB_00587	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insC	insC	gene-ECB_01905	pseudogene	0	0	1	0	0	0	0	1	0	0	0	0	0
insD	gene-ECB_01904	TRANSCRIPT_gene-ECB_01904	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insE-1	gene-ECB_01029	TRANSCRIPT_gene-ECB_01029	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insE-2	gene-ECB_01359	TRANSCRIPT_gene-ECB_01359	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insE-3	gene-ECB_01511	TRANSCRIPT_gene-ECB_01511	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
insF-1	gene-ECB_01028	TRANSCRIPT_gene-ECB_01028	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insF-2	gene-ECB_01360	TRANSCRIPT_gene-ECB_01360	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insF-3	gene-ECB_01512	TRANSCRIPT_gene-ECB_01512	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
insJ-2	gene-ECB_00619	TRANSCRIPT_gene-ECB_00619	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insJ-3	gene-ECB_02606	TRANSCRIPT_gene-ECB_02606	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insJ-5	gene-ECB_03632	TRANSCRIPT_gene-ECB_03632	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
insK-2	gene-ECB_00620	TRANSCRIPT_gene-ECB_00620	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
insK-3	gene-ECB_02605	TRANSCRIPT_gene-ECB_02605	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
insK-5	gene-ECB_03633	TRANSCRIPT_gene-ECB_03633	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
insL-1	gene-ECB_00016	TRANSCRIPT_gene-ECB_00016	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
insL-2	gene-ECB_00390	TRANSCRIPT_gene-ECB_00390	protein_coding	1	0	1	0	0	0	0	0	1	0	0	0	1
insL-4	gene-ECB_01767	TRANSCRIPT_gene-ECB_01767	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
insL-5	gene-ECB_02604	TRANSCRIPT_gene-ECB_02604	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
intB	gene-ECB_04136	TRANSCRIPT_gene-ECB_04136	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ispC	gene-ECB_00171	TRANSCRIPT_gene-ECB_00171	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
katE	gene-ECB_01701	TRANSCRIPT_gene-ECB_01701	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
kdgR	gene-ECB_01798	TRANSCRIPT_gene-ECB_01798	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
kdpA	gene-ECB_00655	TRANSCRIPT_gene-ECB_00655	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
kdpB	gene-ECB_00654	TRANSCRIPT_gene-ECB_00654	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
kdpC	gene-ECB_00653	TRANSCRIPT_gene-ECB_00653	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
kdpD	gene-ECB_00652	TRANSCRIPT_gene-ECB_00652	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
kdpE	gene-ECB_00651	TRANSCRIPT_gene-ECB_00651	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
kdpF	gene-ECB_00656	TRANSCRIPT_gene-ECB_00656	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
kefB	gene-ECB_03201	TRANSCRIPT_gene-ECB_03201	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
kgtP	gene-ECB_02481	TRANSCRIPT_gene-ECB_02481	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
kup	gene-ECB_03631	TRANSCRIPT_gene-ECB_03631	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
ldhA	gene-ECB_01352	TRANSCRIPT_gene-ECB_01352	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
leuT	gene-ECB_t00069	rna-ECB_t00069	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
leuU	gene-ECB_t00058	rna-ECB_t00058	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
leuX	gene-ECB_t00083	rna-ECB_t00083	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
leuZ	gene-ECB_t00029	rna-ECB_t00029	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
lhr	gene-ECB_01623	TRANSCRIPT_gene-ECB_01623	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
lipA	gene-ECB_00597	TRANSCRIPT_gene-ECB_00597	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
lipB	gene-ECB_00599	TRANSCRIPT_gene-ECB_00599	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
lldP	gene-ECB_03461	TRANSCRIPT_gene-ECB_03461	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
lldR	gene-ECB_03462	TRANSCRIPT_gene-ECB_03462	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
lomR	gene-ECB_01509	TRANSCRIPT_gene-ECB_01509	protein_coding	1	0	1	0	0	0	0	0	1	0	0	0	1
lon	gene-ECB_00391	TRANSCRIPT_gene-ECB_00391	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
lysA	gene-ECB_02686	TRANSCRIPT_gene-ECB_02686	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
lysP	gene-ECB_02085	TRANSCRIPT_gene-ECB_02085	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
lyxK	gene-ECB_03432	TRANSCRIPT_gene-ECB_03432	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
maa	gene-ECB_00410	TRANSCRIPT_gene-ECB_00410	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
macB	gene-ECB_00884	TRANSCRIPT_gene-ECB_00884	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
maeB	gene-ECB_02354	TRANSCRIPT_gene-ECB_02354	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
manX	gene-ECB_01787	TRANSCRIPT_gene-ECB_01787	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
manY	gene-ECB_01788	TRANSCRIPT_gene-ECB_01788	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
manZ	gene-ECB_01789	TRANSCRIPT_gene-ECB_01789	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mdaB	gene-ECB_02900	TRANSCRIPT_gene-ECB_02900	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
metC	gene-ECB_02881	TRANSCRIPT_gene-ECB_02881	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
metI	gene-ECB_00197	TRANSCRIPT_gene-ECB_00197	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
metN	gene-ECB_00198	TRANSCRIPT_gene-ECB_00198	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mglA	gene-ECB_02078	TRANSCRIPT_gene-ECB_02078	protein_coding	1	0	1	0	0	0	0	0	1	0	0	0	1
mglB	gene-ECB_02079	TRANSCRIPT_gene-ECB_02079	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
mglC	gene-ECB_02077	TRANSCRIPT_gene-ECB_02077	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mgsA	gene-ECB_00967	TRANSCRIPT_gene-ECB_00967	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mgtA	gene-ECB_04110	TRANSCRIPT_gene-ECB_04110	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mhpE	gene-ECB_00306	TRANSCRIPT_gene-ECB_00306	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mhpT	gene-ECB_00307	TRANSCRIPT_gene-ECB_00307	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mioC	gene-ECB_03626	TRANSCRIPT_gene-ECB_03626	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mltC	gene-ECB_02793	TRANSCRIPT_gene-ECB_02793	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mltD	gene-ECB_00204	TRANSCRIPT_gene-ECB_00204	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mntH	gene-ECB_02301	TRANSCRIPT_gene-ECB_02301	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mobA	gene-ECB_03743	TRANSCRIPT_gene-ECB_03743	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mobB	gene-ECB_03742	TRANSCRIPT_gene-ECB_03742	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mokC	gene-ECB_00017	TRANSCRIPT_gene-ECB_00017	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mrcB	gene-ECB_00148	TRANSCRIPT_gene-ECB_00148	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mrdB	gene-ECB_00603	TRANSCRIPT_gene-ECB_00603	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mtlR	gene-ECB_03456	TRANSCRIPT_gene-ECB_03456	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mtr	gene-ECB_03028	TRANSCRIPT_gene-ECB_03028	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
mukB	gene-ECB_00928	TRANSCRIPT_gene-ECB_00928	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mutH	gene-ECB_02679	TRANSCRIPT_gene-ECB_02679	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
mutM	gene-ECB_03492	TRANSCRIPT_gene-ECB_03492	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
mutY	gene-ECB_02791	TRANSCRIPT_gene-ECB_02791	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
nac	gene-ECB_01898	TRANSCRIPT_gene-ECB_01898	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
napA	gene-ECB_02133	TRANSCRIPT_gene-ECB_02133	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
